ሀ he
ሁ hu
ሂ hi
ሃ ha
ሄ hE
ህ hI
ሆ ho

ለ le
ሉ lu
ሊ li
ላ la
ሌ lE
ል lI
ሎ lo

ሐ He
ሑ Hu
ሒ Hi
ሓ Ha
ሔ HE
ሕ HI
ሖ Ho

መ me
ሙ mu
ሚ mi
ማ ma
ሜ mE
ም mI
ሞ mo

ሠ ^se
ሡ ^su
ሢ ^si
ሣ ^sa
ሤ ^sE
ሥ ^sI
ሦ ^so

ረ re
ሩ ru
ሪ ri
ራ ra
ሬ rE
ር rI
ሮ ro

ሰ se
ሱ su
ሲ si
ሳ sa
ሴ sE
ስ sI
ሶ so

ሸ xe
ሹ xu
ሺ xi
ሻ xa
ሼ xE
ሽ xI
ሾ xo

ቀ qe
ቁ qu
ቂ qi
ቃ qa
ቄ qE
ቅ qI
ቆ qo

ቈ qWe
ቊ qWi
ቋ qWa
ቌ qWE
ቍ qWI

ቐ Qe
ቑ Qu
ቒ Qi
ቓ Qa
ቔ QE
ቕ QI
ቖ Qo

ቘ QWe
ቑ QWu
ቚ QWi
ቛ QWa
ቜ QWE
ቝ QWI

በ be
ቡ bu
ቢ bi
ባ ba
ቤ bE
ብ bI
ቦ bo

ቨ ve
ቩ vu
ቪ vi
ቫ va
ቬ vE
ቭ vI
ቮ vo

ተ te
ቱ tu
ቲ ti
ታ ta
ቴ tE
ት tI
ቶ to

ቸ ce
ቹ cu
ቺ ci
ቻ ca
ቼ cE
ች cI
ቾ co

ኀ ^he
ኁ ^hu
ኂ ^hi
ኃ ^ha
ኄ ^hE
ኅ ^hI
ኆ ^ho

ኈ ^hWe
ኁ ^hWu
ኊ ^hWi
ኋ ^hWa
ኌ ^hWE
ኍ ^hWI

ነ ne
ኑ nu
ኒ ni
ና na
ኔ nE
ን nI
ኖ no

ኘ Ne
ኙ Nu
ኚ Ni
ኛ Na
ኜ NE
ኝ NI
ኞ No

አ 1e
ኡ 1u
ኢ 1i
ኣ 1a
ኤ 1E
እ 1I
ኦ 1o


አ Ae
ኡ Au
ኢ Ai
ኣ Aa
ኤ AE
እ AI
ኦ Ao

ከ ke
ኩ ku
ኪ ki
ካ ka
ኬ kE
ክ kI
ኮ ko

ኰ kWe
ኲ kWi
ኳ kWa
ኴ kWE
ኵ kWI

ኸ Ke
ኹ Ku
ኺ Ki
ኻ Ka
ኼ KE
ኽ KI
ኾ Ko

ዀ KWe
ዂ KWi
ዃ KWa
ዄ KWE
ዅ KWI

ወ we
ዉ wu
ዊ wi
ዋ wa
ዌ wE
ው wI
ዎ wo

ዐ Oe
ዑ Ou
ዒ Oi
ዓ Oa
ዔ OE
ዕ OI
ዖ Oo

ዐ 2e
ዑ 2u
ዒ 2i
ዓ 2a
ዔ 2E
ዕ 2I
ዖ 2o

ዘ ze
ዙ zu
ዚ zi
ዛ za
ዜ zE
ዝ zI
ዞ zo

ዠ Ze
ዡ Zu
ዢ Zi
ዣ Za
ዤ ZE
ዥ ZI
ዦ Zo

የ ye
ዩ yu
ዪ yi
ያ ya
ዬ yE
ይ yI
ዮ yo

ደ de
ዱ du
ዲ di
ዳ da
ዴ dE
ድ dI
ዶ do


ጀ je
ጁ ju
ጂ ji
ጃ ja
ጄ jE
ጅ jI
ጆ jo

ገ ge
ጉ gu
ጊ gi
ጋ ga
ጌ gE
ግ gI
ጎ go

ጐ gWe
ጒ gWi
ጓ gWa
ጔ gWE
ጕ gWI


ጠ Te
ጡ Tu
ጢ Ti
ጣ Ta
ጤ TE
ጥ TI
ጦ To

ጨ Ce
ጩ Cu
ጪ Ci
ጫ Ca
ጬ CE
ጭ CI
ጮ Co

ጰ Pe
ጱ Pu
ጲ Pi
ጳ Pa
ጴ PE
ጵ PI
ጶ Po

ጸ Se
ጹ Su
ጺ Si
ጻ Sa
ጼ SE
ጽ SI
ጾ So

ፀ ^Se
ፁ ^Su
ፂ ^Si
ፃ ^Sa
ፄ ^SE
ፅ ^SI
ፆ ^So

ፈ fe
ፉ fu
ፊ fi
ፋ fa
ፌ fE
ፍ fI
ፎ fo

ፐ pe
ፑ pu
ፒ pi
ፓ pa
ፔ pE
ፕ pI
ፖ po


። .
፣ ,
፤ ;
፥ :
፦ :
